"","gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"154","FBgn0034897",892.504226935569,-1.8951400102481,0.160132352752062,1.18499458767717e-33,6.57513996882473e-31
"155","FBgn0035085",638.232608936723,-2.54561140244563,0.138016399380024,1.2877177955285e-77,2.14353504243674e-74
"156","FBgn0035147",19322.7427980903,-1.05450445672483,0.171242790203246,4.34417373920849e-11,3.14404852447237e-09
"157","FBgn0035150",2606.02901506028,0.537600487088333,0.0993018425123853,8.31681180263513e-09,4.07181321372542e-07
"158","FBgn0035189",215.649109473704,2.9318664091436,0.255284745886657,8.604283769086e-32,3.97852521167238e-29
"159","FBgn0035232",1724.90443352683,-0.504672200845243,0.103166959640145,1.28679750564436e-07,5.05189416956511e-06
"160","FBgn0035266",383.491045433592,1.0148773538169,0.186971376652507,3.70606950772007e-09,1.96468894985695e-07
"161","FBgn0035344",77.3906854234971,-1.57863832809663,0.24086747208438,2.84208052584463e-12,2.41373838944948e-10
"162","FBgn0035403",496.336141885826,-0.901741265788289,0.163285882515741,2.0143609360122e-09,1.12520309197514e-07
"163","FBgn0035500",4353.27271493634,-0.523428735704581,0.1225584252033,2.27619640403848e-06,6.79024468487896e-05
"164","FBgn0035727",65.2382080197701,1.51609663824333,0.244687852272392,3.3340447627652e-11,2.47761201432989e-09
"165","FBgn0035761",584.24372961436,0.708905111878045,0.114159036568895,5.15157376332039e-11,3.66466225915518e-09
"166","FBgn0035765",556.565924409498,0.955425468100468,0.136761662819452,2.27303930615813e-13,2.33561804261162e-11
"167","FBgn0035811",1035.69733791406,0.826352135090443,0.164769972622007,4.05619061282491e-08,1.78622616246253e-06
"168","FBgn0035937",902.533123624161,0.505984658202925,0.110373459907513,6.31508932873507e-07,2.1366052228887e-05
"169","FBgn0035968",295.080008715197,1.07487148893553,0.138756681458531,6.43013017306798e-16,9.07084295431268e-14
"170","FBgn0036007",1262.74646163205,0.74896878306698,0.140093525369303,7.91515579243366e-09,3.92130009883484e-07
"171","FBgn0036299",655.122274652677,0.894656742136792,0.152858283201583,3.50607218883448e-10,2.14566461968157e-08
"172","FBgn0036576",1775.64757341738,-0.941239289727146,0.226773271074812,1.80308554634538e-06,5.59965709038529e-05
"173","FBgn0036663",7680.95811958356,-0.618283938042475,0.133426031732426,3.37108464675088e-07,1.19393776659181e-05
"174","FBgn0036684",908.268719002069,-0.849170021271281,0.117001402708561,2.43755096599281e-14,2.85742770281101e-12
"175","FBgn0036821",416.318375721468,-1.62794375137521,0.318629271257019,1.34976678557937e-08,6.34695421264245e-07
"176","FBgn0036896",643.752497468408,-0.80763570701121,0.158638729839974,2.54563619663346e-08,1.1543366525842e-06
"177","FBgn0036968",736.417217926066,-0.949903223265776,0.116729618204667,2.89943024222483e-17,4.92488936857904e-15
"178","FBgn0036985",1932.81686662789,-1.30439875882897,0.174930340980356,4.46925645245753e-15,5.99961636351678e-13
"179","FBgn0037153",103.138008401758,1.79251892395334,0.215121680404554,3.83747356712898e-18,6.94332445635098e-16
"180","FBgn0037223",24.9888948742115,-2.46043700849264,0.467170786482042,7.82864672180954e-09,3.90751863056293e-07
"181","FBgn0037239",747.673982647397,-0.852860639304934,0.103691599107841,1.3155444854884e-17,2.28109932348332e-15
"182","FBgn0037290",67.0979552373649,2.93732188438671,0.333718750096318,7.41827103513674e-20,1.50590902013276e-17
"183","FBgn0037468",3146.70077127865,0.832782818970208,0.177984775033492,2.25021201404574e-07,8.36094401468872e-06
"184","FBgn0037635",167.521439147164,-1.03057485311482,0.172544304193115,1.43585843196856e-10,9.40996041675146e-09
"185","FBgn0037646",39.6194029275577,-2.69547609374548,0.396384730292734,7.11864618468983e-13,6.51082331815093e-11
"186","FBgn0037678",35.3314222655489,1.58120759578275,0.374992312281322,1.15135656296293e-06,3.65753460822154e-05
"187","FBgn0037680",416.834628202428,0.727471217731943,0.137010003376531,1.00636986550067e-08,4.81380252331152e-07
"188","FBgn0037683",1434.35534989018,-0.803516919740932,0.148575881113496,4.43094477794634e-09,2.2906058004253e-07
"189","FBgn0037739",357.48198553562,0.717014319603013,0.143264308856733,5.23905790880776e-08,2.27107702994828e-06
"190","FBgn0037754",269.759434828675,-2.29496469575404,0.2358936044754,1.41806088235827e-23,4.06983473236825e-21
"191","FBgn0037844",248.598836365011,0.649155572036741,0.147302336827557,9.98381960016422e-07,3.23328134366408e-05
"192","FBgn0037850",339.794493211898,0.593554001799587,0.135053659794371,1.17395166207861e-06,3.71513295949822e-05
"193","FBgn0037872",397.026724855338,-0.792968978060952,0.139179955559949,9.42532622086035e-10,5.54196006349477e-08
"194","FBgn0038149",993.470196777235,1.02135098661707,0.126898676976695,5.7956442866478e-17,9.4582641956411e-15
"195","FBgn0038198",62.2913022634452,2.31584410120247,0.308774700570955,3.68636558002316e-15,5.0297738889398e-13
"196","FBgn0038237",20.7726859291834,-2.64321944118215,0.575725217783214,3.03821638155801e-07,1.08996012688393e-05
"197","FBgn0038293",3300.82562593858,0.581668302259058,0.108227717438052,9.15917323719932e-09,4.42258802727617e-07
"198","FBgn0038341",427.750828653903,0.844236968093643,0.153496000108628,2.77941932458154e-09,1.5021498076943e-07
"199","FBgn0038351",97.3791361116169,-1.5520379338547,0.260800064056473,1.35852499714538e-10,8.97381234225477e-09
"200","FBgn0038381",158.233296490354,-1.05751137995553,0.195961109512822,3.84267972979578e-09,2.02421667032217e-07
"201","FBgn0038436",622.846709757112,0.633923184673839,0.128658125815559,8.22255777423595e-08,3.37124868743674e-06
"202","FBgn0038476",1367.42334401925,0.646598785459899,0.107519436690679,1.91736806665807e-10,1.21818736021337e-08
"203","FBgn0038528",152.602204393006,1.34849422670863,0.185327689523479,2.01555797777077e-14,2.39649843556944e-12
"204","FBgn0038720",255.828828105931,0.630277738021465,0.143105040304164,1.08079302684155e-06,3.45978475477009e-05
"205","FBgn0038805",749.301501358822,0.725579903713421,0.110733117147288,5.30724298729403e-12,4.3734835032919e-10
"206","FBgn0038832",301.922359913768,-2.50872437970151,0.203484893647698,4.08366516652304e-36,2.42773894149795e-33
"207","FBgn0038865",282.797843257863,-0.992769661344669,0.157816074412666,1.90431450862282e-11,1.45409262892364e-09
"208","FBgn0038877",983.32738391576,-0.65521883105024,0.135932525793754,1.30134682103271e-07,5.08502797720902e-06
"209","FBgn0039000",478.024688905653,-0.588357995815456,0.125010286722861,2.52869188383167e-07,9.31252325182788e-06
"210","FBgn0039098",308.493104091368,-0.964265573048174,0.17542749517032,2.42499688805366e-09,1.32784533547833e-07
"211","FBgn0039101",294.420198644807,-0.901671189859754,0.205925596447206,7.26237989196088e-07,2.43728983228994e-05
"212","FBgn0039109",475.414402545912,-1.2776715597071,0.132926964958707,4.57054080362735e-23,1.15274579116941e-20
"213","FBgn0039113",474.333402699434,0.91189417829752,0.13733646241101,2.32818500162267e-12,2.03973513352689e-10
"214","FBgn0039155",730.595806139728,-4.60651225907724,0.169487673340712,4.88598916294907e-165,4.06660878032251e-161
"215","FBgn0039257",521.9273090084,-1.02647735006727,0.121690307534125,2.08547182112465e-18,3.85719599271566e-16
"216","FBgn0039419",1564.3067965081,-1.14502435314477,0.0970029568743225,2.10576582426959e-33,1.09539305971224e-30
"217","FBgn0039464",820.529102252368,1.07201638405572,0.179653435224206,1.56305002958955e-10,1.01562805833844e-08
"218","FBgn0039479",175.678112416903,1.4988014012705,0.201825548042792,5.62046363133651e-15,7.42525695295457e-13
"219","FBgn0039485",58.5694895403254,1.22268854405065,0.268015580374536,3.11216645976059e-07,1.11169791607671e-05
"220","FBgn0039593",42.4946506743156,1.83524171118882,0.319394241526733,6.0809253568841e-10,3.641118111176e-08
"221","FBgn0039637",3037.39941677664,-0.478795067960573,0.10104977841655,3.03125096989361e-07,1.08996012688393e-05
"222","FBgn0039640",72.0247462362931,-1.72100378011611,0.267556624333664,7.08260903074797e-12,5.7231606760112e-10
"223","FBgn0039714",2309.89452329995,-0.574359218784619,0.121026449308054,2.18351215306248e-07,8.22324509047016e-06
"224","FBgn0039809",582.995876037301,-0.831994450784261,0.148635069724772,1.59823704674022e-09,9.11104584932799e-08
"225","FBgn0039827",261.916235943103,-4.13019936074833,0.23354089712461,1.25663334386721e-71,1.74315988683446e-68
"226","FBgn0039886",899.370149099067,-0.601229989271091,0.109592587399144,4.31690416313425e-09,2.2455995843604e-07
"227","FBgn0040091",1106.52964640409,-1.55709930747752,0.121693929606235,8.6971568209209e-39,6.03220301837706e-36
"228","FBgn0040099",910.115655435202,-1.74056442125841,0.192395326184879,7.97351260082236e-21,1.74640908885907e-18
"229","FBgn0040271",1010.0394401539,0.893782789157962,0.107719467591195,8.64245452081392e-18,1.53044997822839e-15
"230","FBgn0040290",711.511402332931,-0.525507806980682,0.10988628584871,2.09188544802541e-07,7.91398299268888e-06
"231","FBgn0040388",1478.46090025325,-0.986774581315456,0.162959522759085,8.34645998957586e-11,5.69406446665901e-09
"232","FBgn0040398",4196.28242500357,-0.751704144332827,0.141362262792437,7.84038941852709e-09,3.90751863056293e-07
"233","FBgn0040752",4855.18467380839,-0.760888800643886,0.16803125578454,4.19356548129981e-07,1.44825914941321e-05
"234","FBgn0040827",215.987277141888,-1.95883634424434,0.177301307041045,1.73292199080103e-29,7.21155486471847e-27
"235","FBgn0043364",1194.99433999215,-1.12645107352391,0.231318333611544,5.7452940807729e-08,2.47762086187942e-06
"236","FBgn0043841",14718.0845153021,-0.598931749940288,0.125603685577559,1.78597285508337e-07,6.88178336706431e-06
"237","FBgn0044047",273.953039732563,-0.837062329395727,0.171261146546288,7.52242126925206e-08,3.14618654391884e-06
"238","FBgn0045852",2029.06047311394,-0.619019252488269,0.145971584165155,2.01572938044484e-06,6.12296191001548e-05
